,Chain,Item,Type,Calories,Total Fat (g),Chol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Total Sugar (g),Protein (g)
330,Mc Donalds,Sprite (Child),Beverages,110,0,0,30,28,0,28,0
331,Mc Donalds,Sprite (Small),Beverages,150,0,0,40,39,0,39,0
332,Mc Donalds,Sprite (Medium),Beverages,210,0,0,55,56,0,56,0
333,Mc Donalds,Sprite (Large),Beverages,310,0,0,80,83,0,83,0
334,Mc Donalds,Hi-C Orange Lavaburst (Child),Beverages,120,0,0,0,32,0,32,0
335,Mc Donalds,Hi-C Orange Lavaburst (Small),Beverages,160,0,0,5,44,0,44,0
336,Mc Donalds,Hi-C Orange Lavaburst (Medium),Beverages,240,0,0,10,64,0,64,0
337,Mc Donalds,Hi-C Orange Lavaburst (Large),Beverages,350,0,0,10,94,0,94,0
338,Mc Donalds,Powerrade Mountain Blast (Child),Beverages,70,0,0,65,20,0,16,0
339,Mc Donalds,Powerrade Mountain Blast (Small),Beverages,100,0,0,85,27,0,21,0
340,Mc Donalds,Powerrade Mountain Blast (Medium),Beverages,150,0,0,130,39,0,31,0
341,Mc Donalds,Powerrade Mountain Blast (Large),Beverages,220,0,0,190,58,0,46,0
342,Mc Donalds,Iced Tea (Child),Beverages,0,0,0,5,0,0,0,0
343,Mc Donalds,Iced Tea (Small),Beverages,0,0,0,10,0,0,0,0
344,Mc Donalds,Iced Tea (Medium),Beverages,0,0,0,15,0,0,0,0
345,Mc Donalds,Iced Tea (Large),Beverages,0,0,0,20,1,0,0,0
346,Mc Donalds,Coffee (Small),Beverages,0,0,0,0,0,0,0,0
347,Mc Donalds,Coffee (Large),Beverages,0,0,0,0,0,0,0,0
348,Mc Donalds,Coffee Cream,Beverages,20,2,10,15,0,0,0,0
349,Mc Donalds,Sugar Packet,Beverages,15,0,0,0,4,0,4,0
350,Mc Donalds,Equal 0 Cal Sweetener,Beverages,0,0,0,0,1,0,1,0
351,Mc Donalds,Splenda No Calorie Sweetener,Beverages,0,0,0,0,1,0,1,0
352,Mc Donalds,Iced Coffee - Caramel (Small),Beverages,130,5,20,80,21,0,20,1
353,Mc Donalds,Iced Coffee - Caramel (Medium),Beverages,190,8,30,115,27,0,27,2
354,Mc Donalds,Iced Coffee - Caramel (Large),Beverages,270,11,40,160,41,0,41,2
355,Mc Donalds,Iced Coffee - Hazelnut (Small),Beverages,130,5,20,40,21,0,21,1
356,Mc Donalds,Iced Coffee - Hazelnut (Medium),Beverages,190,8,30,60,29,0,29,2
357,Mc Donalds,Iced Coffee - Hazelnut (Large),Beverages,270,11,40,85,43,0,43,2
358,Mc Donalds,Iced Coffee - Regular (Small),Beverages,140,5,20,40,22,0,22,1
359,Mc Donalds,Iced Coffee - Regular (Medium),Beverages,200,8,30,60,30,0,30,2
360,Mc Donalds,Iced Coffee - Regular (Large),Beverages,280,11,40,85,45,0,45,2
361,Mc Donalds,Iced Coffee - Vanilla (Small),Beverages,130,5,20,40,21,0,21,1
362,Mc Donalds,Iced Coffee - Vanilla (Medium),Beverages,190,8,30,60,29,0,28,2
363,Mc Donalds,Iced Coffee - Vanilla (Large),Beverages,270,11,40,80,43,0,43,2
364,Mc Donalds,Iced Coffee with Sugar Free Vanilla Syrup (Small),Beverages,60,5,20,70,8,0,1,1
365,Mc Donalds,Iced Coffee with Sugar Free Vanilla Syrup (Medium),Beverages,90,8,30,100,11,0,2,2
366,Mc Donalds,Iced Coffee with Sugar Free Vanilla Syrup (Large),Beverages,120,11,40,140,16,0,2,2
367,Mc Donalds,Sweet Tea (Child),Beverages,110,0,0,5,27,0,27,0
368,Mc Donalds,Sweet Tea (Large),Beverages,280,0,0,15,69,0,69,1
369,Mc Donalds,Sweet Tea (Medium),Beverages,180,0,0,10,45,0,45,1
370,Mc Donalds,Sweet Tea (Small),Beverages,150,0,0,10,36,0,36,1
371,Mc Donalds,Nonfat Cappucino (Small),McCafe Coffees - Nonfat Milk,60,0,5,85,9,0,9,6
372,Mc Donalds,Nonfat Cappucino (Medium),McCafe Coffees - Nonfat Milk,80,0,5,110,12,0,12,8
373,Mc Donalds,Nonfat Cappucino (Large),McCafe Coffees - Nonfat Milk,90,0,5,130,13,0,13,9
374,Mc Donalds,Nonfat Latte (Small),McCafe Coffees - Nonfat Milk,90,0,5,115,13,0,13,9
375,Mc Donalds,Nonfat Latte (Medium),McCafe Coffees - Nonfat Milk,110,0,5,140,15,0,15,10
376,Mc Donalds,Nonfat Latte (Large),McCafe Coffees - Nonfat Milk,120,0,5,160,18,0,18,12
377,Mc Donalds,Nonfat Caramel Cappucino (Small),McCafe Coffees - Nonfat Milk,150,0,5,120,33,0,32,5
378,Mc Donalds,Nonfat Caramel Cappucino (Medium),McCafe Coffees - Nonfat Milk,190,0,5,150,41,0,41,6
379,Mc Donalds,Nonfat Caramel Cappucino (Large),McCafe Coffees - Nonfat Milk,230,0,5,180,49,0,49,7
380,Mc Donalds,Nonfat Caramel Latte (Small),McCafe Coffees - Nonfat Milk,170,0,5,150,36,0,36,7
381,Mc Donalds,Nonfat Caramel Latte (Medium),McCafe Coffees - Nonfat Milk,220,0,5,180,45,0,45,9
382,Mc Donalds,Nonfat Caramel Latte (Large),McCafe Coffees - Nonfat Milk,260,0,5,220,53,0,53,10
383,Mc Donalds,Nonfat Hazelnut Cappucino (Small),McCafe Coffees - Nonfat Milk,150,0,5,70,34,0,34,5
384,Mc Donalds,Nonfat Hazelnut Cappucino (Medium),McCafe Coffees - Nonfat Milk,190,0,5,90,43,0,43,6
385,Mc Donalds,Nonfat Hazelnut Cappucino (Large),McCafe Coffees - Nonfat Milk,230,0,5,100,51,0,51,7
386,Mc Donalds,Nonfat Hazelnut Latte (Small),McCafe Coffees - Nonfat Milk,180,0,5,95,37,0,37,7
387,Mc Donalds,Nonfat Hazelnut Latte (Medium),McCafe Coffees - Nonfat Milk,220,0,5,115,46,0,46,9
388,Mc Donalds,Nonfat Hazelnut Latte (Large),McCafe Coffees - Nonfat Milk,260,0,5,135,55,0,55,10
389,Mc Donalds,Nonfat Vanilla Cappucino (Small),McCafe Coffees - Nonfat Milk,150,0,5,70,34,0,34,5
390,Mc Donalds,Nonfat Vanilla Cappucino (Medium),McCafe Coffees - Nonfat Milk,190,0,5,90,42,0,42,6
391,Mc Donalds,Nonfat Vanilla Cappucino (Large),McCafe Coffees - Nonfat Milk,230,0,5,100,51,0,51,7
392,Mc Donalds,Nonfat Vanilla Latte (Small),McCafe Coffees - Nonfat Milk,180,0,5,95,37,0,37,7
393,Mc Donalds,Nonfat Vanilla Latte (Medium),McCafe Coffees - Nonfat Milk,220,0,5,115,46,0,46,9
394,Mc Donalds,Nonfat Vanilla Latte (Large),McCafe Coffees - Nonfat Milk,260,0,5,135,55,0,55,10
395,Mc Donalds,Nonfat Cappucino with Sugar Free Vanilla Syrup (Small),McCafe Coffees - Nonfat Milk,50,0,5,100,15,0,8,5
396,Mc Donalds,Nonfat Cappucino with Sugar Free Vanilla Syrup (Medium),McCafe Coffees - Nonfat Milk,70,0,5,130,19,0,10,7
397,Mc Donalds,Nonfat Cappucino with Sugar Free Vanilla Syrup (Large),McCafe Coffees - Nonfat Milk,80,0,5,150,22,0,11,8
398,Mc Donalds,Nonfat Latte with Sugar Free Vanilla Syrup (Small),McCafe Coffees - Nonfat Milk,80,0,5,130,18,0,11,7
399,Mc Donalds,Nonfat Latte with Sugar Free Vanilla Syrup (Medium),McCafe Coffees - Nonfat Milk,90,0,5,160,22,0,13,9
400,Mc Donalds,Nonfat Latte with Sugar Free Vanilla Syrup (Large),McCafe Coffees - Nonfat Milk,110,0,5,190,27,0,15,11
401,Mc Donalds,Mocha with Nonfat Milk (Small),McCafe Coffees - Nonfat Milk,240,5,5,130,41,0,34,7
402,Mc Donalds,Mocha with Nonfat Milk (Medium),McCafe Coffees - Nonfat Milk,280,6,10,160,50,0,42,8
403,Mc Donalds,Mocha with Nonfat Milk (Large),McCafe Coffees - Nonfat Milk,330,6,10,190,58,0,50,10
404,Mc Donalds,Hot Chocolate with Nonfat Milk (Small),McCafe Coffees - Nonfat Milk,250,5,10,140,43,0,37,8
405,Mc Donalds,Hot Chocolate with Nonfat Milk (Medium),McCafe Coffees - Nonfat Milk,310,6,10,190,55,0,47,11
406,Mc Donalds,Hot Chocolate with Nonfat Milk (Large),McCafe Coffees - Nonfat Milk,390,6,10,250,68,0,59,16
407,Mc Donalds,Iced Nonfat Latte (Small),McCafe Coffees - Nonfat Milk,50,0,5,70,7,0,7,5
408,Mc Donalds,Iced Nonfat Latte (Medium),McCafe Coffees - Nonfat Milk,60,0,5,90,9,0,9,6
409,Mc Donalds,Iced Nonfat Latte (Large),McCafe Coffees - Nonfat Milk,70,0,5,105,11,0,11,7
410,Mc Donalds,Iced Nonfat Caramel Latte (Small),McCafe Coffees - Nonfat Milk,140,0,0,105,30,0,30,3
411,Mc Donalds,Iced Nonfat Caramel Latte (Medium),McCafe Coffees - Nonfat Milk,150,0,5,120,32,0,32,5
412,Mc Donalds,Iced Nonfat Caramel Latte (Large),McCafe Coffees - Nonfat Milk,190,0,5,150,40,0,40,6
413,Mc Donalds,Iced Nonfat Hazelnut Latte (Small),McCafe Coffees - Nonfat Milk,140,0,0,50,32,0,32,3
414,Mc Donalds,Iced Nonfat Hazelnut Latte (Medium),McCafe Coffees - Nonfat Milk,150,0,5,70,33,0,33,5
415,Mc Donalds,Iced Nonfat Hazelnut Latte (Large),McCafe Coffees - Nonfat Milk,190,0,5,80,42,0,42,6
416,Mc Donalds,Iced Nonfat Vanilla Latte (Small),McCafe Coffees - Nonfat Milk,140,0,0,50,31,0,31,3
417,Mc Donalds,Iced Nonfat Vanilla Latte (Medium),McCafe Coffees - Nonfat Milk,150,0,5,70,33,0,33,5
418,Mc Donalds,Iced Nonfat Vanilla Latte (Large),McCafe Coffees - Nonfat Milk,190,0,5,85,41,0,41,6
419,Mc Donalds,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Small),McCafe Coffees - Nonfat Milk,40,0,0,85,13,0,5,4
420,Mc Donalds,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Medium),McCafe Coffees - Nonfat Milk,50,0,5,100,14,0,6,5
421,Mc Donalds,Iced Nonfat Latte with Sugar Free Vanilla Syrup (Large),McCafe Coffees - Nonfat Milk,60,0,5,130,19,0,8,6
422,Mc Donalds,Iced Mocha with Nonfat Milk (Medium),McCafe Coffees - Nonfat Milk,270,8,10,140,43,0,35,7
423,Mc Donalds,Iced Nonfat Caramel Mocha (Large),McCafe Coffees - Nonfat Milk,300,6,10,230,49,0,45,11
424,Mc Donalds,Iced Nonfat Caramel Mocha (Medium),McCafe Coffees - Nonfat Milk,240,6,10,190,37,0,34,9
425,Mc Donalds,Iced Nonfat Caramel Mocha (Small),McCafe Coffees - Nonfat Milk,200,6,10,140,29,0,26,6
426,Mc Donalds,Nonfat Caramel Mocha (Large),McCafe Coffees - Nonfat Milk,280,4,10,260,49,0,46,12
427,Mc Donalds,Nonfat Caramel Mocha (Medium),McCafe Coffees - Nonfat Milk,240,4,5,200,41,0,38,9
428,Mc Donalds,Nonfat Caramel Mocha (Small),McCafe Coffees - Nonfat Milk,200,4,5,170,34,0,31,8
429,Mc Donalds,Cappucino (Small),McCafe Coffees - Whole Milk,120,7,20,85,9,0,9,6
430,Mc Donalds,Cappucino (Medium),McCafe Coffees - Whole Milk,140,8,25,105,11,0,11,8
431,Mc Donalds,Cappucino (Large),McCafe Coffees - Whole Milk,180,10,30,130,13,0,13,9
432,Mc Donalds,Latte (Small),McCafe Coffees - Whole Milk,150,8,25,105,11,0,11,8
433,Mc Donalds,Latte (Medium),McCafe Coffees - Whole Milk,180,10,30,130,13,0,13,10
434,Mc Donalds,Latte (Large),McCafe Coffees - Whole Milk,210,11,35,150,16,0,16,11
435,Mc Donalds,Caramel Cappucino (Small),McCafe Coffees - Whole Milk,200,5,15,125,32,0,32,5
436,Mc Donalds,Caramel Cappucino (Medium),McCafe Coffees - Whole Milk,240,6,20,150,41,0,40,6
437,Mc Donalds,Caramel Cappucino (Large),McCafe Coffees - Whole Milk,290,8,25,190,49,0,49,8
438,Mc Donalds,Caramel Latte (Small),McCafe Coffees - Whole Milk,230,7,20,140,35,0,35,7
439,Mc Donalds,Caramel Latte (Medium),McCafe Coffees - Whole Milk,280,8,25,170,43,0,43,8
440,Mc Donalds,Caramel Latte (Large),McCafe Coffees - Whole Milk,330,9,30,210,52,0,51,9
441,Mc Donalds,Hazelnut Cappucino (Small),McCafe Coffees - Whole Milk,200,5,15,70,34,0,34,5
442,Mc Donalds,Hazelnut Cappucino (Medium),McCafe Coffees - Whole Milk,240,6,20,85,42,0,42,6
443,Mc Donalds,Hazelnut Cappucino (Large),McCafe Coffees - Whole Milk,290,8,25,105,51,0,51,7
444,Mc Donalds,Hazelnut Latte (Small),McCafe Coffees - Whole Milk,230,7,20,90,36,0,36,7
445,Mc Donalds,Hazelnut Latte (Medium),McCafe Coffees - Whole Milk,280,8,25,110,45,0,45,8
446,Mc Donalds,Hazelnut Latte (Large),McCafe Coffees - Whole Milk,330,9,30,130,53,0,53,9
447,Mc Donalds,Vanilla Cappucino (Small),McCafe Coffees - Whole Milk,200,5,15,70,34,0,34,5
448,Mc Donalds,Vanilla Cappucino (Medium),McCafe Coffees - Whole Milk,240,6,20,85,42,0,42,6
449,Mc Donalds,Vanilla Cappucino (Large),McCafe Coffees - Whole Milk,290,8,25,105,51,0,51,7
450,Mc Donalds,Vanilla Latte (Small),McCafe Coffees - Whole Milk,230,7,20,90,36,0,36,7
451,Mc Donalds,Vanilla Latte (Medium),McCafe Coffees - Whole Milk,280,8,25,110,44,0,44,8
452,Mc Donalds,Vanilla Latte (Large),McCafe Coffees - Whole Milk,330,9,30,130,53,0,53,9
453,Mc Donalds,Cappucino with Sugar Free Vanilla Syrup (Small),McCafe Coffees - Whole Milk,100,5,15,105,15,0,7,5
454,Mc Donalds,Cappucino with Sugar Free Vanilla Syrup (Medium),McCafe Coffees - Whole Milk,120,6,20,130,18,0,9,6
455,Mc Donalds,Cappucino with Sugar Free Vanilla Syrup (Large),McCafe Coffees - Whole Milk,150,8,25,160,22,0,11,8
456,Mc Donalds,Latte with Sugar Free Vanilla Syrup (Small),McCafe Coffees - Whole Milk,130,7,20,125,17,0,10,7
457,Mc Donalds,Latte with Sugar Free Vanilla Syrup (Medium),McCafe Coffees - Whole Milk,160,8,25,150,21,0,11,8
458,Mc Donalds,Latte with Sugar Free Vanilla Syrup (Large),McCafe Coffees - Whole Milk,180,10,30,180,25,0,13,10
459,Mc Donalds,Mocha (Small),McCafe Coffees - Whole Milk,280,11,20,125,40,0,33,6
460,Mc Donalds,Mocha (Medium),McCafe Coffees - Whole Milk,330,12,25,150,48,0,41,7
461,Mc Donalds,Mocha (Large),McCafe Coffees - Whole Milk,400,14,30,190,58,0,49,10
462,Mc Donalds,Hot Chocolate (Small),McCafe Coffees - Whole Milk,300,12,25,135,41,0,35,8
463,Mc Donalds,Hot Chocolate (Medium),McCafe Coffees - Whole Milk,380,15,30,170,53,0,45,10
464,Mc Donalds,Hot Chocolate (Large),McCafe Coffees - Whole Milk,460,18,40,220,63,0,54,13
465,Mc Donalds,Iced Latte (Small),McCafe Coffees - Whole Milk,80,"4,5",15,65,6,0,6,4
466,Mc Donalds,Iced Latte (Medium),McCafe Coffees - Whole Milk,100,6,15,80,8,0,8,6
467,Mc Donalds,Iced Latte (Large),McCafe Coffees - Whole Milk,140,8,25,105,10,0,10,7
468,Mc Donalds,Iced Caramel Latte (Small),McCafe Coffees - Whole Milk,160,3,10,100,29,0,29,3
469,Mc Donalds,Iced Caramel Latte (Medium),McCafe Coffees - Whole Milk,180,"4,5",15,120,31,0,31,4
470,Mc Donalds,Iced Caramel Latte (Large),McCafe Coffees - Whole Milk,230,6,15,150,40,0,40,6
471,Mc Donalds,Iced Hazelnut Latte (Small),McCafe Coffees - Whole Milk,160,3,10,45,31,0,31,3
472,Mc Donalds,Iced Hazelnut Latte (Medium),McCafe Coffees - Whole Milk,180,"4,5",15,65,33,0,33,4
473,Mc Donalds,Iced Hazelnut Latte (Large),McCafe Coffees - Whole Milk,230,6,15,85,41,0,41,6
474,Mc Donalds,Iced Vanilla Latte (Small),McCafe Coffees - Whole Milk,160,3,10,45,31,0,31,3
475,Mc Donalds,Iced Vanilla Latte (Medium),McCafe Coffees - Whole Milk,190,"4,5",15,70,33,0,33,5
476,Mc Donalds,Iced Vanilla Latte (Large),McCafe Coffees - Whole Milk,230,6,15,85,41,0,41,6
477,Mc Donalds,Iced Latte with Sugar Free Vanilla Syrup (Small),McCafe Coffees - Whole Milk,60,3,10,80,12,0,4,3
478,Mc Donalds,Iced Latte with Sugar Free Vanilla Syrup (Medium),McCafe Coffees - Whole Milk,90,5,15,105,14,0,6,5
479,Mc Donalds,Iced Latte with Sugar Free Vanilla Syrup (Large),McCafe Coffees - Whole Milk,110,6,15,130,19,0,8,6
480,Mc Donalds,Iced Mocha (Medium),McCafe Coffees - Whole Milk,310,13,25,140,42,0,35,7
481,Mc Donalds,Caramel Mocha (Large),McCafe Coffees - Whole Milk,360,14,35,220,47,0,46,10
482,Mc Donalds,Caramel Mocha (Medium),McCafe Coffees - Whole Milk,290,12,25,180,39,0,38,8
483,Mc Donalds,Caramel Mocha (Small),McCafe Coffees - Whole Milk,250,11,25,150,33,0,31,7
484,Mc Donalds,Iced Caramel Mocha (Large),McCafe Coffees - Whole Milk,380,16,35,210,48,0,46,10
485,Mc Donalds,Iced Caramel Mocha (Medium),McCafe Coffees - Whole Milk,300,14,30,160,36,0,33,8
486,Mc Donalds,Iced Caramel Mocha (Small),McCafe Coffees - Whole Milk,240,12,25,130,29,0,26,6
487,Mc Donalds,Frappe Caramel (Small),McCafe Frappes,450,20,55,135,61,0,57,6
488,Mc Donalds,Frappe Caramel (Medium),McCafe Frappes,550,24,70,160,76,0,71,8
489,Mc Donalds,Frappe Caramel (Large),McCafe Frappes,680,29,85,200,94,0,88,10
490,Mc Donalds,Frappe Mocha (Small),McCafe Frappes,450,20,55,130,62,1,56,7
491,Mc Donalds,Frappe Mocha (Medium),McCafe Frappes,560,24,65,160,78,1,70,8
492,Mc Donalds,Frappe Mocha (Large),McCafe Frappes,680,28,80,200,96,1,87,10
493,Mc Donalds,Strawberry Banana Smoothie (Large),McCafe Smoothies,330,1,5,55,77,4,70,3
494,Mc Donalds,Strawberry Banana Smoothie (Medium),McCafe Smoothies,260,1,5,40,60,3,54,2
495,Mc Donalds,Strawberry Banana Smoothie (Small),McCafe Smoothies,210,"0,5",5,35,49,2,44,2
496,Mc Donalds,Wild Berry Smoothie (Large),McCafe Smoothies,320,1,5,45,75,4,69,3
497,Mc Donalds,Wild Berry Smoothie (Medium),McCafe Smoothies,260,1,5,35,60,4,55,3
498,Mc Donalds,Wild Berry Smoothie (Small),McCafe Smoothies,210,"0,5",5,30,48,3,44,2
